target,method,round,hv_mean,hv_sd,delta_vs_greedy_round_hv_mean,threshold_rate_mean,mean_selected_dock_mean,candidate_test_spearman_mean,candidate_test_cov2_mean,train_seconds_mean,score_seconds_mean
JAK2,qnparego_mc,4,202.26663208007812,2.396784955756436,-0.7094573974609318,0.10600000000000001,-9.2912,0.7739569443626176,0.9474049027511711,155.15016570053996,3.3162039749324324
JAK2,qnparego_mc,5,202.6743408203125,2.3392100959964472,-1.0001556396484488,0.068,-9.1742,0.7776575829277174,0.9546076474609826,182.343340434134,3.3473593082278965
JAK2,qnparego_mc,6,204.05238342285156,0.7828059902683209,-0.42109374999998295,0.124,-9.302,0.7800279941557127,0.9495284953475117,198.60126494280993,3.253159641474485
JAK2,qnparego_mc,7,204.81554260253907,1.3451908932698287,-0.4098846435546989,0.11200000000000002,-9.291599999999999,0.7774751664382625,0.9535545272317376,216.98697911053895,3.266650754585862
JAK2,qnparego_mc,8,205.8332092285156,1.2849939054271502,-0.3828399658203068,0.11000000000000001,-9.455400000000001,0.7968068190662415,0.9489245021790691,222.95724619925022,3.210875852406025
JAK2,qnparego_mc,9,206.3279998779297,1.136589866564912,-0.3418548583984432,0.09,-9.5378,0.8019982530898172,0.9539209398257735,251.2825725544244,3.219724685698748
JAK2,qnparego_mc,10,207.5787322998047,1.8442086723032378,-0.04340209960936932,0.076,-9.564400000000001,0.7983293298363362,0.9464887396179359,266.0471144821495,3.3298394102603197
JAK2,random,1,188.32489929199218,2.9651066556606183,-6.628536987304687,0.028000000000000004,-8.4552,0.6611207603218002,0.9754395983080064,102.6580064509064,3.3833789698779584
JAK2,random,2,189.11544189453124,2.665779807954392,-9.04940795898437,0.016,-8.4552,0.7406814710860219,0.977102667769904,117.62715211287141,3.2365957528352736
JAK2,random,3,190.0975799560547,2.950510787121265,-10.744082641601574,0.014000000000000002,-8.4944,0.7636647169595758,0.961266505872387,147.9018868111074,3.2471168987452983
JAK2,random,4,192.0822784423828,2.817484310572185,-10.893811035156244,0.012,-8.376,0.778886652277517,0.9526349524278117,165.90216204673052,3.2065624207258225
JAK2,random,5,193.11566467285155,3.000728169257342,-10.558831787109392,0.014000000000000002,-8.296199999999999,0.7826130089288312,0.9593318057355195,168.18765973486006,3.308647729828954
JAK2,random,6,194.41942138671874,2.982575461117648,-10.054055786132796,0.022,-8.4086,0.7837842698070866,0.95684665222409,197.2295086607337,3.295636646449566
JAK2,random,7,194.92695312499998,2.664732694519666,-10.298474121093767,0.012,-8.294,0.7916475176240325,0.9525535860968135,217.96634378246964,3.313521647825837
JAK2,random,8,197.2058319091797,2.949785737410165,-9.010217285156262,0.02,-8.3926,0.8026678374313703,0.9593564609186446,221.36532258167864,3.1219985149800777
JAK2,random,9,197.2345001220703,2.9522852730751494,-9.435354614257818,0.02,-8.418,0.802254485942856,0.9609383039165558,250.35214591287075,3.2587612990289925
JAK2,random,10,197.85027465820312,3.2635824193407452,-9.771859741210937,0.019999999999999997,-8.45,0.8064978908771969,0.9644185813428917,265.7798772186041,3.2568664982914926
KIT,analytic_ehvi,1,190.02586364746094,2.299535703671687,0.1351928710937443,0.008,-7.905199999999999,0.6066576658644,0.9300719238509096,108.21436459943652,3.4177909452468156
KIT,analytic_ehvi,2,195.87470397949218,4.1813076655520405,0.2032684326171875,0.082,-8.972199999999999,0.625746278826723,0.9392994250867668,115.92930518984795,3.194519317895174
KIT,analytic_ehvi,3,197.78459777832032,2.4120712679920335,1.460565185546875,0.05800000000000001,-8.9142,0.6333815077819085,0.9381602460743871,141.30305439271032,3.2979496154934167
KIT,analytic_ehvi,4,199.92926330566405,2.0182796668155283,1.789697265625,0.064,-8.8878,0.6677372070511013,0.9422096285824104,161.60093653537334,3.421233407407999
KIT,analytic_ehvi,5,201.00936889648438,1.9181307677920374,2.674679565429682,0.072,-8.918000000000001,0.6793312158668198,0.9421396532643627,182.5792421553284,3.326618779078126
